segment,n_control,n_test,retained_control,retained_test,retention_ctrl,retention_test,absolute_lift,relative_lift_pct,ci_95_low,ci_95_high,chi2_stat,p_value,dof,significant,verdict
ALL USERS,2500,2500,951,1086,0.3804,0.4344,0.054,14.2,0.0268,0.0812,15.0978,0.000102,1,True,SIGNIFICANT ✓
NEW USERS,1500,1500,443,548,0.2953,0.3653,0.07,23.7,0.0364,0.1036,16.6129,4.6e-05,1,True,SIGNIFICANT ✓
RETURNING USERS,1000,1000,508,538,0.508,0.538,0.03,5.91,-0.0138,0.0738,1.8038,0.179252,1,False,NOT SIGNIFICANT ✗
